,Simplified,Pinyin,Meaning
895,童话,tónghuà,"fairy story, fairy tale, fairy-tale, children's stories, fairytale, fairy tales"
896,跨国,kuàguó,"transnationa, transnational, multinational"
897,陪同,péitóng,accompany
898,乃至,nǎizhì,"conj.: even, go so far as to"
899,火山,huǒshān,volcano
900,乃至,nǎizhì,"conj.: even, go so far as to"
901,付款,fùkuǎn,"ante_up, ante up, foot, pay out, pay up, pay, shell_out, cash, pay a sum of money, disburse"
902,工业化,gōngyèhuà,"industrialise, industrialization, urbanize, industrialize"
903,麻雀,máquè,"Passer domesticus, gutter-bird, spadger, house sparrow, sparrow, mahjong, tree sparrow, Passer montanus, hedge sparrow, Prunella modularis, dunnock, house_sparrow, English sparrow"
904,大麻,dàmá,marijuana
905,路,lù,m.[general]
906,比重,bǐzhòng,"proportion, specific gravity"
907,爆炸,bàozhà,"explode, blow up"
908,护士,hùshì,"graduate nurse, nana, nurse, sister, trained nurse, (hospital) nurse"
909,跷家,qiàojiā,run away from home
910,艰苦,jiānkǔ,arduous
911,艰难,jiānnán,"difficult, hard"
912,蟋蟀,xīshuài,"grig, cricket"
913,艰难,jiānnán,"difficult, hard"
914,艰苦,jiānkǔ,arduous
915,栽培,zāipéi,"cultivate, grow, foster, train, educate, give/receive patronage"
916,士气,shìqì,morale
917,雕像,diāoxiàng,"imagery, effigy, statue, torso, representation, statuary, glyph"
918,平地,píngdì,"smooth, level, area, surface area, level/flat ground, flatland, expanse, flat ground, level ground"
919,备,bèi,"prepare, get ready, be equipped with, have"
920,祖国,zǔguó,"country, China (used only by Chinese), mother_country, China, old_country, fatherland, home, country of origin, mother country, old country, homeland, native land, motherland, metropolis"
921,寸,cùn,m.[standard]
922,大选,dàxuǎn,general election
923,遵循,zūnxún,"track, abide by, follow, conform to, adhere to"
924,集,jí,"gather, collect"
925,零售,língshòu,"retail, (sell) retail"
926,港口,gǎngkǒu,"harbour, port, seaport, haven, harbor"
927,压制,yāzhì,"suppress, stifle, inhibit, press"
928,疗法,liáofǎ,"therapy, cure, treatment, therapeutics"
929,获胜,huòshèng,"triumphant, triumph, beat, win victory, be victorious, conquer, gain, prevail, win"
930,新建,xīnjiàn,"newly build, just build"
931,压制,yāzhì,"suppress, stifle, inhibit, press"
932,农地,nóngdì,"farmland, kingdom, ground, earth, farming, realm, solid ground, terra firma, cropland, land, dry land"
933,迁,qiān,"movement, change, move"
934,感性,gǎnxìng,sensitive
935,黑人,hēirén,"black people, nigger, crow, Negroid, black person, dinge, spook, moke, jigaboo, Sambo, darky, Ethiopian, darkie, Negro, boogie, coon, black man, blackamoor, blackie, African, blacky, hoofer, unregistered resident, Black, darkey, black"
936,落在,luòzài,"accrue, alight, rest_on, fall, fall on, in"
937,静坐,jìngzuò,"sit quietly (as therapy), sit-in"
938,总会,zǒnghuì,"headquarters of an association, central administrative body, club, clubhouse"
939,请假,qǐngjià,"vacate, ask for leave"
940,美化,měihuà,"beautify, embellish"
941,香,xiāng,joss stick
942,急速,jísù,"at high speed, apace, very fast, rapidly"
943,建国,jiànguó,found or build up a state
944,约定,yuēdìng,agree upon
945,生机,shēngjī,"animation, verdure, vitality, vital_force, viability, life, verve, lease of life, new lease on life"
946,查证,cházhèng,check and verify
947,荒谬,huāngmiù,"absurd, preposterous"
948,约定,yuēdìng,agree upon
949,家园,jiāyuán,"home, homestead, native heath, homestall, homeland"
950,前景,qiánjǐng,"outlook, perspective, prospect, expectation, vista, foreground"
951,查证,cházhèng,check and verify
952,建国,jiànguó,found or build up a state
953,夜市,yèshì,night market
954,卓越,zhuóyuè,"excel, excel at, brilliant, shine, surpassing, paramount, shine at, outstanding"
955,呎,chǐ,m.[standard]
956,制裁,zhìcái,"sanction, punish"
957,更改,gēnggǎi,"change, alter"
958,换上,huànshàng,change
959,乌托邦,wūtuōbāng,Utopia
960,罢工,bàgōng,go on strike
961,瓦解,wǎjiě,"disintegrate, collapse"
962,应变,yìngbiàn,meet contingency
963,影印,yǐngyìn,"print by photo-offset, photocopy"
964,穷人,qióngrén,"pauper, poor people, prole, poor, poor man, the poor, beggar, have-not"
965,写出,xiěchū,"write, draw up"
966,电机,diànjī,electrical machinery
967,应变,yìngbiàn,meet contingency
968,剧烈,jùliè,"violent, fierce"
969,骆驼,luòtuó,camel
970,电厂,diànchǎng,"power station, station, power plant, power_plant"
